level,function,cycles_avg,cycles_median,code_dimension,null_eta2
1,polyvec_compress,193,193,1,True
1,polyvec_decompress,56,55,1,True
1,indcpa_keypair,11621,11441,1,True
1,indcpa_enc,10419,10367,1,True
1,indcpa_dec,927,926,1,True
1,kyber_keypair,17937,17843,1,True
1,kyber_encaps,25923,25785,1,True
1,kyber_decaps,20258,19112,1,True
1,kex_uake_initA,44731,43935,1,True
1,kex_uake_sharedB,47055,46473,1,True
1,kex_uake_sharedA,21493,20770,1,True
1,kex_ake_initA,43690,43886,1,True
1,kex_ake_sharedB,72422,70868,1,True
1,kex_ake_sharedA,40596,40272,1,True
1,gen_a,5507,5182,2,False
1,poly_getnoise_eta1,2191,2129,2,False
1,poly_getnoise_eta2,1409,1395,2,False
1,poly_getnoise_eta1_4x,3277,3170,2,False
1,NTT,162,147,2,False
1,INVNTT,159,160,2,False
1,polyvec_basemul_acc_montgomery,127,126,2,False
1,poly_tomsg,449,410,2,False
1,poly_frommsg,78,78,2,False
1,poly_compress,15,16,2,False
1,poly_decompress,22,23,2,False
1,polyvec_compress,204,191,2,False
1,polyvec_decompress,54,54,2,False
1,indcpa_keypair,11146,10911,2,False
1,indcpa_enc,11897,11850,2,False
1,indcpa_dec,1307,1306,2,False
1,kyber_keypair,17900,17420,2,False
1,kyber_encaps,27552,26845,2,False
1,kyber_decaps,21686,21613,2,False
1,kex_uake_initA,45634,44697,2,False
1,kex_uake_sharedB,51012,51446,2,False
1,kex_uake_sharedA,22584,22341,2,False
1,kex_ake_initA,44003,43682,2,False
1,kex_ake_sharedB,78188,76349,2,False
1,kex_ake_sharedA,44234,43635,2,False
1,gen_a,5503,5192,2,True
1,poly_getnoise_eta1,2202,2156,2,True
1,poly_getnoise_eta2,1420,1396,2,True
1,poly_getnoise_eta1_4x,3387,3173,2,True
1,NTT,152,153,2,True
1,INVNTT,161,161,2,True
1,polyvec_basemul_acc_montgomery,129,128,2,True
1,poly_tomsg,423,410,2,True
1,poly_frommsg,78,78,2,True
1,poly_compress,16,16,2,True
1,poly_decompress,22,23,2,True
1,polyvec_compress,191,191,2,True
1,polyvec_decompress,53,54,2,True
1,indcpa_keypair,11283,11159,2,True
1,indcpa_enc,10279,10155,2,True
1,indcpa_dec,1289,1287,2,True
1,kyber_keypair,19937,17561,2,True
1,kyber_encaps,26688,26039,2,True
1,kyber_decaps,20638,20608,2,True
1,kex_uake_initA,43262,42333,2,True
1,kex_uake_sharedB,46899,46253,2,True
1,kex_uake_sharedA,21204,20814,2,True
1,kex_ake_initA,42755,42322,2,True
1,kex_ake_sharedB,73119,71781,2,True
1,kex_ake_sharedA,41554,40609,2,True
3,gen_a,14137,13684,4,False
3,poly_getnoise_eta1,1489,1400,4,False
3,poly_getnoise_eta2,1487,1398,4,False
3,poly_getnoise_eta1_4x,1669,1642,4,False
3,NTT,146,146,4,False
3,INVNTT,176,160,4,False
3,polyvec_basemul_acc_montgomery,350,204,4,False
3,poly_tomsg,993,986,4,False
3,poly_frommsg,60,61,4,False
3,poly_compress,14,15,4,False
3,poly_decompress,19,19,4,False
3,polyvec_compress,336,336,4,False
3,polyvec_decompress,88,88,4,False
3,indcpa_keypair,21592,21204,4,False
3,indcpa_enc,20409,20372,4,False
3,indcpa_dec,2215,2226,4,False
3,kyber_keypair,31112,29604,4,False
3,kyber_encaps,42240,42312,4,False
3,kyber_decaps,33590,32922,4,False
3,kex_uake_initA,70904,69687,4,False
3,kex_uake_sharedB,76298,74544,4,False
3,kex_uake_sharedA,35557,34775,4,False
