KYBER_Q,KYBER_LEVEL,KYBER_K,KYBER_ETA1,KYBER_ETA2,KYBER_N_BLOCKS_FOR_DU0,KYBER_DU0,KYBER_DU1,KYBER_DV,CODE_DIMENSION,CODE_ALPHA,CODE_BETA,DFR
3329,1,2,3,2,2,10,0,4,4,1664,722,7.8799569202247510887654756391230886615196780585093299006390635873249765404756567e-43
3329,3,3,2,2,3,10,0,4,4,1664,722,8.6023263969760553615992043920139758271222315405427092614310849138605208642807573e-50
3329,5,4,2,2,4,11,0,5,4,1664,745,4.0676265032312528704186190194887078258702595480884418180081104994940588079967411e-53
